Allele_1,WT_Background,Replicate,Temperature,Individuals,SQ_Measure,TotalArea.px
sd[58d],DGRP028,R1,24,1,18,45507
sd[58d],DGRP028,R1,24,2,18,43754
sd[58d],DGRP028,R1,24,3,19,44063
sd[58d],DGRP028,R1,24,4,19,49687
sd[58d],DGRP028,R1,24,5,19,47712
sd[58d],DGRP028,R1,24,6,19,40783
sd[58d],DGRP028,R1,24,7,19,43059
sd[58d],DGRP028,R1,24,8,19,42969
sd[58d],DGRP038,R1,24,1,20,33160
sd[58d],DGRP038,R1,24,2,20,26114
sd[58d],DGRP038,R1,24,3,20,24644
sd[58d],DGRP038,R1,24,4,20,26410
sd[58d],DGRP038,R1,24,5,21,28095
sd[58d],DGRP038,R1,24,6,19,34210
sd[58d],DGRP038,R1,24,7,21,28047
sd[58d],DGRP038,R1,24,8,20,23438
sd[58d],DGRP038,R1,24,9,21,19642
sd[58d],DGRP038,R1,24,10,20,35630
sd[58d],DGRP038,R1,24,11,21,17571
sd[58d],DGRP038,R1,24,12,20,23877
sd[58d],DGRP048,R1,24,1,19,39055
sd[58d],DGRP048,R1,24,2,19,31666
sd[58d],DGRP048,R1,24,3,20,24717
sd[58d],DGRP048,R1,24,4,18,51064
sd[58d],DGRP048,R1,24,5,20,20115
sd[58d],DGRP048,R1,24,6,20,25418
sd[58d],DGRP048,R1,24,7,18,37857
sd[58d],DGRP048,R1,24,8,19,34983
sd[58d],DGRP048,R1,24,9,19,25939
sd[58d],DGRP048,R1,24,10,19,34978
sd[58d],DGRP048,R1,24,11,19,40472
sd[58d],DGRP048,R1,24,12,19,32425
sd[58d],DGRP048,R1,24,13,18,37018
sd[58d],DGRP048,R1,24,14,19,30418
sd[58d],DGRP048,R1,24,15,20,7948
sd[58d],DGRP075,R1,24,1,19,35705
sd[58d],DGRP075,R1,24,2,19,40900
sd[58d],DGRP075,R1,24,3,18,44740
sd[58d],DGRP075,R1,24,4,19,33811
sd[58d],DGRP083,R1,24,1,19,34791
sd[58d],DGRP083,R1,24,2,18,43001
sd[58d],DGRP083,R1,24,3,19,36720
sd[58d],DGRP083,R1,24,5,19,34824
sd[58d],DGRP083,R1,24,6,19,39239
sd[58d],DGRP083,R1,24,8,19,48049
sd[58d],DGRP083,R1,24,9,19,38374
sd[58d],DGRP083,R1,24,10,19,37130
sd[58d],DGRP083,R1,24,11,18,48704
sd[58d],DGRP083,R1,24,12,18,46773
sd[58d],DGRP083,R1,24,13,19,45569
sd[58d],DGRP083,R1,24,14,18,46062
sd[58d],DGRP083,R1,24,15,19,35082
sd[58d],DGRP083,R1,24,16,18,50528
sd[58d],DGRP083,R1,24,17,20,32685
sd[58d],DGRP088,R1,24,1,18,47734
sd[58d],DGRP088,R1,24,2,19,33341
sd[58d],DGRP088,R1,24,3,19,33889
sd[58d],DGRP088,R1,24,4,19,40728
sd[58d],DGRP088,R1,24,5,19,30704
sd[58d],DGRP088,R1,24,6,19,35420
sd[58d],DGRP088,R1,24,7,19,38976
sd[58d],DGRP088,R1,24,8,19,36606
sd[58d],DGRP088,R1,24,9,18,44555
sd[58d],DGRP088,R1,24,10,19,36448
sd[58d],DGRP088,R1,24,11,20,29687
sd[58d],DGRP088,R1,24,12,19,40327
sd[58d],DGRP088,R1,24,13,19,33042
sd[58d],DGRP088,R1,24,14,19,59327
sd[58d],DGRP088,R1,24,15,19,38917
sd[58d],DGRP088,R1,24,16,19,32806
sd[58d],DGRP229,R1,24,1,18,44523
sd[58d],DGRP229,R1,24,2,19,38492
sd[58d],DGRP229,R1,24,3,19,38946
sd[58d],DGRP229,R1,24,4,18,39113
sd[58d],DGRP229,R1,24,5,18,49833
sd[58d],DGRP229,R1,24,6,19,42568
sd[58d],DGRP229,R1,24,7,18,59455
sd[58d],DGRP229,R1,24,8,19,42789
sd[58d],DGRP229,R1,24,9,19,35994
sd[58d],DGRP229,R1,24,10,19,45131
sd[58d],DGRP229,R1,24,11,19,36539
sd[58d],DGRP229,R1,24,12,19,48713
sd[58d],DGRP229,R1,24,13,19,40385
sd[58d],DGRP229,R1,24,14,20,37237
sd[58d],DGRP229,R1,24,15,19,43313
sd[58d],DGRP229,R1,24,16,18,52263
sd[58d],DGRP229,R1,24,18,19,35953
